ID,Date Requested,Transaction Status,Transaction Type,Currency,Transaction Amount,Provider Fee,Amount Transferred,Currency Transferred,Client,Contract Name,Contract URL,Invoice URL,Withdraw Method,Withdraw Method Custom Name,Withdraw Account Holder Name,Trace ID,Trace ID Type,Transaction Statement URL
7b534e8a-d607-4fd9-b1de-b9858e12dc24,2025-06-30 01:36:22,completed,client_payment,USD,6875.00,,,,John Doe (john@company.com),Jane Smith (Fixed),https://app.deel.com/contract/abc123,https://app.deel.com/invoice/4tgQ9PbAQMPFFg3rER2hh,,,,,,
7a2210b7-ae57-456f-a1ba-e508d6a67adc,2025-06-13 01:18:44,completed,withdrawal,USD,-6875.00,0,37216.1,BRL,,,,,bank_transfer,,Jane Smith,,,https://app.deel.com/withdraw-statement/eb3f873a-7524-438d-9978-105f37955bec
30dd5559-3318-4098-a4ac-95704c5b8b31,2025-06-13 01:18:44,completed,client_payment,USD,6875.00,,,,John Doe (john@company.com),Jane Smith (Fixed),https://app.deel.com/contract/abc123,https://app.deel.com/invoice/bf27fq5NRAHM4nTYrEpJp,,,,,,
ca646b68-d5fb-4238-adba-602a2a8158ac,2025-05-30 01:41:53,completed,withdrawal,USD,-6875.00,0,38085.09,BRL,,,,,bank_transfer,,Jane Smith,,,https://app.deel.com/withdraw-statement/3f5d89b8-d57e-4960-9668-78f99b5729c8
975bae31-cf8a-4fc2-a6f3-2802d53ad282,2025-05-30 01:41:53,completed,client_payment,USD,6875.00,,,,John Doe (john@company.com),Jane Smith (Fixed),https://app.deel.com/contract/abc123,https://app.deel.com/invoice/JpgpTA9t9FFKTf7pUEgku,,,,,,
23d36c02-fd88-4a5d-aaff-b3642e808dd3,2025-05-15 01:16:50,completed,withdrawal,USD,-6875.00,0,37890.86,BRL,,,,,bank_transfer,,Jane Smith,,,https://app.deel.com/withdraw-statement/29d75497-19c7-4ec0-8a84-a444875bbb0c
9a469130-6e4c-454c-8bcc-127d104cea39,2025-05-15 01:16:50,completed,client_payment,USD,6875.00,,,,John Doe (john@company.com),Jane Smith (Fixed),https://app.deel.com/contract/abc123,https://app.deel.com/invoice/f6qEBpundhu3utGe95EHG,,,,,,
368e601b-1f47-41c7-9caf-d230dd5a14dd,2025-04-30 01:37:48,completed,withdrawal,USD,-343.75,0,1872.64,BRL,,,,,bank_transfer,,Jane Smith,,,https://app.deel.com/withdraw-statement/726a9401-d1ee-4e7e-9786-3e56480fa771
88f4e024-2e74-43f7-a9c8-4781335ea39f,2025-04-30 01:37:48,completed,advance_repayment,USD,-6341.02,,,,,,,,,,,,,
9e6b4bd0-7e28-4454-b032-453486678933,2025-04-30 01:37:48,completed,advance_repayment,USD,-190.23,,,,,,,,,,,,,
be6da48f-109b-420e-9d93-f68be9894b39,2025-04-30 01:37:48,completed,client_payment,USD,6875.00,,,,John Doe (john@company.com),Jane Smith (Fixed),https://app.deel.com/contract/abc123,https://app.deel.com/invoice/7jmDQQJ5Y68ay6KYBtQJH,,,,,,
e7fd0cb4-e02e-4e9a-8815-b361f6fc2578,2025-04-15 08:33:14,completed,withdrawal,USD,-6341.02,0,36302.81,BRL,,,,,bank_transfer,,Jane Smith,,,https://app.deel.com/withdraw-statement/a0564a59-528e-440b-b796-f7e4344e4260
